avoidance_weight,trial,collision_count,success_rate
0.5,1,29321,88.0
0.5,2,28236,84.0
0.5,3,28379,86.0
0.5,4,29645,98.0
0.5,5,29574,92.0
0.5,6,26101,86.0
0.5,7,29744,98.0
0.5,8,24339,94.0
0.5,9,30370,100.0
0.5,10,29756,100.0
1.0,1,19451,94.0
1.0,2,18411,92.0
1.0,3,19339,90.0
1.0,4,18334,84.0
1.0,5,18446,90.0
1.0,6,20052,90.0
1.0,7,18977,94.0
1.0,8,18361,80.0
1.0,9,19375,98.0
1.0,10,16776,82.0
2.0,1,14513,40.0
2.0,2,13850,52.0
2.0,3,14210,64.0
2.0,4,15637,20.0
2.0,5,14471,64.0
2.0,6,15256,26.0
2.0,7,13936,62.0
2.0,8,15155,22.0
2.0,9,14468,44.0
2.0,10,14332,57.99999999999999
4.0,1,9655,20.0
4.0,2,9439,16.0
4.0,3,9697,16.0
4.0,4,9575,18.0
4.0,5,9544,16.0
4.0,6,9701,16.0
4.0,7,9868,18.0
4.0,8,9443,16.0
4.0,9,9888,14.000000000000002
4.0,10,9598,18.0
